dataset,degree,rmse
exploration,1,0.5346705942010511
exploration,3,0.17951142223687394
exploration,5,0.1657478281488983
exploration,2,0.18373609846306158
exploration,4,0.17608694457914773
target,1,0.0347014939911489
target,3,0.0008399308205838399
