degree,train_rmse,test_rmse,test_r2
2,2.7660589872403083,2.7411232731491206,0.7220006391742925
3,2.124289972470109,2.1335816160613295,0.8315755318230096
4,1.4447782351694711,1.680220134691738,0.8955474533654751
5,1.0256933062219522,1.171320291854956,0.9492380850031683
6,0.7622071650741239,0.9256702709698282,0.9682970777530397
7,0.6009276367230637,0.6850356845169195,0.9826374682188781
